C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
111 	23 32 58.25898 -37 49 05.7570	 4.28 	 4.37 
112 	14 56 13.22999 +14 26 46.5513	 5.870	 5.901
113 	01 56 00.02784 +68 41 06.8662	 4.887	 4.970
114 	19 28 20.79903 +02 55 48.1202	 5.840	 5.847
115 	17 53 51.0 -34 47 36         	 3.45 	 3.3  
116 	05 11 45.35175 +01 02 13.3039	 6.55 	 5.89 
117 	14 02 22.78174 -27 25 47.1813	 6.827	 5.476
118 	11 49 03.57834 +14 34 19.4090	 2.22 	 2.13 
119 	12 32 09.97513 -73 00 03.8001	 6.991	 5.888
120 	01 06 05.095 -46 43 06.60    	 5.13 	 4.10 
121 	22 30 01.81479 +32 34 21.5034	 5.61 	 5.65 
122 	19 22 38.29770 -44 27 32.2458	 3.91 	 4.01 
123 	11 56 00.95323 -17 09 02.9781	 5.146	 5.168
124 	17 47 35.08113 -40 07 37.1893	 3.485	 3.020
125 	13 40 40.46962 +19 57 20.5859	 5.774	 5.753
126 	20 12 00.70129 +26 28 43.7037	 5.81 	 5.92 
127 	17 32 16.02464 +55 10 22.6504	 5.139	 4.865
128 	18 46 28.597 -00 57 42.11    	 6.03 	 5.90 
129 	00 55 00.15523 +58 58 21.7108	 6.060	 4.829
130 	01 30 06.10209 +47 00 26.1909	 6.262	 5.269
131 	05 07 34.02861 -63 23 58.8365	 6.833	 5.228
132 	09 34 53.52532 +72 12 20.4453	 6.256	 5.780
133 	04 14 00.11445 -42 17 39.7232	 4.96 	 3.86 
134 	00 08 23.25988 +29 05 25.5520	 1.95 	 2.06 
135 	17 26 46.14547 +34 41 44.8879	 5.93 	 5.94 
136 	21 46 47.60832 +49 18 34.4511	 4.11 	 4.18 
137 	18 56 57.02788 -67 14 00.5831	 5.08 	 4.40 
138 	19 48 42.136 +11 48 57.05    	 6.230	 5.740
139 	15 56 54.12100 -33 57 51.3448	 5.61 	 5.55 
140 	08 14 23.87167 -45 50 04.2816	 5.660	 5.832
141 	03 04 16.51707 -07 36 03.0859	 5.46 	 5.30 
142 	21 08 38.894 +30 12 20.27    	 5.626	 5.712
143 	12 29 27.04209 +24 06 32.1298	 5.882	 5.481
144 	12 36 01.03100 -39 52 10.2270	 5.792	 5.783
145 	23 20 38.24188 +23 44 25.2098	 4.756	 4.592
146 	06 57 33.91102 -24 37 50.9954	 5.82 	 5.46 
147 	17 41 58.10460 +72 09 24.8581	 6.32 	 5.78 
148 	23 27 14.99250 -58 28 33.9934	 6.613	 5.641
149 	08 29 07.56710 -44 09 37.4914	 5.65 	 5.81 
